siren,nom,naf,activite,adresse,code_postal,date_creation,dirigeant
105970578,LINDA INVEST,56.10A,Restauration traditionnelle,15 RUE DES HALLES 75001 PARIS,75001,2027-02-01,DRISS FASSI FIHRI
103985263,DANIEL KAUL (LOCATION MEUBLEE),56.10A,Restauration traditionnelle,10 RUE QUINCAMPOIX 75004 PARIS,75004,2026-12-01,DANIEL ALEXANDER KAUL
108311267,SYMBIOSE,56.10A,Restauration traditionnelle,17 RUE GAY-LUSSAC 75005 PARIS,75005,2026-11-02,"GEORGE VIANNEY LOÏC GEORGE, MÉLANIE CHRISTINE CHANTAL AUSSADISSE (HENNART)"
108771452,BALAE (BALAE),56.10A,Restauration traditionnelle,24 RUE MONDETOUR 75001 PARIS,75001,2026-11-01,MAËVA LUDIVINE ARIANE FRANCESCA MUNOZ CIFUENTES
108070939,OROO CAPITAL,56.10A,Restauration traditionnelle,231 RUE SAINT-HONORE 75001 PARIS,75001,2026-10-01,DOROTHÉE ADAM
109193243,TOM ALBIGES,56.10A,Restauration traditionnelle,12 RUE DES TOURNELLES 75004 PARIS,75004,2026-10-01,TOM ALBIGES
106893001,ROSE TOMY (ROSE TOMY),56.10A,Restauration traditionnelle,229 RUE SAINT-HONORE 75001 PARIS,75001,2026-09-15,ROSE TOMY
109087890,WALID BOUARICH BOULEHFA (ROYALEMOD),56.10A,Restauration traditionnelle,47 RUE VIVIENNE 75002 PARIS,75002,2026-09-15,WALID BOUARICH BOULEHFA
109119982,KAMILA RAKHIMOVA,56.10A,Restauration traditionnelle,RUE JEAN-JACQUES ROUSSEAU 75001 PARIS,75001,2026-09-14,KAMILA RAKHIMOVA
130077704,SALON 94 - PARIS,56.10A,Restauration traditionnelle,58 RUE DE MONCEAU 75008 PARIS,75008,2026-09-10,
109598011,BELLASTOCK ARCHITECTURES,56.10A,Restauration traditionnelle,67 RUE DE LA PLAINE 75020 PARIS,75020,2026-09-04,MATHIEU LAMOUR
108108341,AXYVIA (AXYVIA),56.10A,Restauration traditionnelle,231 RUE SAINT-HONORE 75001 PARIS,75001,2026-09-01,GRACE NFONO ONDO
108268608,AUDE SARL (STUDIO AUDE),56.10A,Restauration traditionnelle,229 RUE SAINT-HONORE 75001 PARIS,75001,2026-09-01,EKIN CAN ERGÖK
108733858,JULIAD CONSULTING EURL (JULIAD CONSULTING),56.10A,Restauration traditionnelle,229 RUE SAINT-HONORE 75001 PARIS,75001,2026-09-01,BRAHIM BELHADJ
108795261,JEAN-LUC ANNICETTE (DOMEA BY A.P),56.10A,Restauration traditionnelle,231 RUE SAINT-HONORE 75001 PARIS,75001,2026-09-01,JEAN-LUC PATRICK ANNICETTE
108858481,EMMAROLE NDO DE MBORO (NDSERVICES RH),56.10A,Restauration traditionnelle,231 RUE SAINT-HONORE 75001 PARIS,75001,2026-09-01,EMMAROLE DAURELLE SHAVELLY NDO DE MBORO
108877838,VAN-LIEM N'ZICKOU-YIMI (TGBG DIGITAL BUSINESS),56.10A,Restauration traditionnelle,231 RUE SAINT-HONORE 75001 PARIS,75001,2026-09-01,VAN-LIEM N'ZICKOU-YIMI
109205146,NEIMADOPS,56.10A,Restauration traditionnelle,229 RUE SAINT-HONORE 75001 PARIS,75001,2026-09-01,DAMIEN JEAN LIEVIN GALASSO
109345918,NOUVELLE EPOQUE INDUSTRIES (NOUVELLE EPOQUE),56.10A,Restauration traditionnelle,229 RUE SAINT-HONORE 75001 PARIS,75001,2026-09-01,"QUENTIN SAMUEL NATHAN MÉNORET, ALISON TARTARY"
108569468,NAOMI CORP,56.10A,Restauration traditionnelle,47 RUE VIVIENNE 75002 PARIS,75002,2026-09-01,STÉPHANE ZHOU
107210312,LINA HACHEM (THE PET JOURNAL CLUB),56.10A,Restauration traditionnelle,47 RUE VIVIENNE 75002 PARIS,75002,2026-09-01,LINA HACHEM
107991325,PIERRE SARAN,56.10A,Restauration traditionnelle,1 RUE JEAN BEAUSIRE 75004 PARIS,75004,2026-09-01,PIERRE SARAN
108828336,MARIE GIL,56.10A,Restauration traditionnelle,81 RUE DE LA VERRERIE 75004 PARIS,75004,2026-09-01,MARIE MATHILDE EMMANUELLE GIL
107698698,MEGAS STUDIO,56.10A,Restauration traditionnelle,67 RUE SAINT-JACQUES 75005 PARIS,75005,2026-09-01,ALEXANDRE BENJAMIN COLLOMB
107943862,PAUL VALENTIN,56.10A,Restauration traditionnelle,63 RUE DU CARDINAL LEMOINE 75005 PARIS,75005,2026-09-01,PAUL VALENTIN
101951663,PEACE MUSEUM PARIS & CAFE (PEACE MUSEUM PARIS & CAFE) (PMP),56.10A,Restauration traditionnelle,7 RUE COCHIN 75005 PARIS,75005,2026-09-01,TOM WILSCAM
105335244,HENRI & PARTNERS,56.10A,Restauration traditionnelle,"447, BROADWAY, 2 ND FLOOR UNIT 1 10013  NEW YORK ETATS-UNIS",10013,2026-09-01,LOÏC HENRI
109346080,MEDIASTRA,56.10A,Restauration traditionnelle,231 RUE SAINT-HONORE 75001 PARIS,75001,2026-08-31,MELVIN BOUVIER
