siren,nom,naf,activite,adresse,code_postal,date_creation,dirigeant
107621914,GARE A MANGER,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),23 RUE DES BALKANS 75020 PARIS,75020,2027-01-01,
108403585,BELY GOURMET,56.10A,Restauration traditionnelle,2 RUE THEOPHILE ROUSSEL 75012 PARIS,75012,2026-10-01,BO CAI
108752965,MAISON MARILIYAH,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),65 RUE SAINT-DOMINIQUE 75007 PARIS,75007,2026-10-01,WALID FOURTI
109484766,KAVISARA BUSSCHAERT (NAKHIEW) (THAI BAN),56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),30 RUE GEOFFROY-SAINT-HILAIRE 75005 PARIS,75005,2026-09-24,
109564690,OUMAR DIACKO (DIACKO),56.10A,Restauration traditionnelle,36 RUE DU COTENTIN CHEZ SY ISSA 36 RUE DU COTENTIN 75015 PARIS,75015,2026-09-20,OUMAR DIACKO
105430250,AMOUR SNACK,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),51 RUE SAINT-MAUR 75011 PARIS,75011,2026-09-18,FAISAL IFTEKHAR
130275142,EMMA-LYSE THELINEAU,56.30Z,"Débits de boissons (coffee shops, bars à café)",47 RUE VIVIENNE 75002 PARIS,75002,2026-09-18,EMMA-LYSE EDEN THÉLINEAU
109835777,AU RENDEZ-VOUS 5EME,56.30Z,"Débits de boissons (coffee shops, bars à café)",15 RUE ROYER-COLLARD 75005 PARIS,75005,2026-09-16,ERIC KONG
130192925,SAKANA,56.10A,Restauration traditionnelle,106 RUE DE LA FOLIE-MERICOURT 75011 PARIS,75011,2026-09-15,
130137334,LARKANA,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),7 RUE BRIDAINE 75017 PARIS,75017,2026-09-15,ABDALLAH ZANNAD
130053200,MAISON SAIGON,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),173 AVENUE DE VERSAILLES 75016 PARIS,75016,2026-09-14,THI ANH THU HUYNH
109947770,LES AMOUREUX FOUS,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),48 RUE DE MAUBEUGE 75009 PARIS,75009,2026-09-11,
109862755,SASU ZHONGHUI,56.10A,Restauration traditionnelle,51 RUE MARGUERITE DE ROCHECHOUART 75009 PARIS,75009,2026-09-10,ZHONGHUI YE
