siren,nom,naf,activite,adresse,code_postal,date_creation,dirigeant
109223495,TASTE TRUCK,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),14 RUE DE TLEMCEN 75020 PARIS,75020,2026-10-01,"MOHAMED DIAWARA, HADJIRA SI HABIB"
130499650,SAKIB HOWLADER,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),121 RUE MANIN 75019 PARIS,75019,2026-09-23,SAKIB HOWLADER
130501273,KARIM HAMIDOUCHE,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),121 RUE MANIN 75019 PARIS,75019,2026-09-23,
130410467,THAI TEA CHEZ NUCH,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),29 B RUE CAILLAUX 75013 PARIS,75013,2026-09-21,
130357916,LUCY,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),6 RUE D'ARMAILLE 75017 PARIS,75017,2026-09-20,JAKUB SIVAK
130258536,CANDYS'D,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),173 RUE DE COURCELLES 75017 PARIS,75017,2026-09-18,CHRIST BARTHON MFUMU MAKOUZA
130419971,O'GUSTA,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),188 RUE SAINT-MAUR 75010 PARIS,75010,2026-09-04,OMAR DJEMA
130510209,F15 FOOD,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),47 RUE DES TROIS BORNES 75011 PARIS,75011,2026-09-01,
109744730,KHAYRAAT,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),93 RUE PHILIPPE DE GIRARD 75018 PARIS,75018,2026-09-01,HODANE MOHAMED ADEN
130437304,DJAMEL CHIBANI,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),121 RUE MANIN 75019 PARIS,75019,2026-09-01,DJAMEL CHIBANI
